,ADULTO,NU_IDADE,NOTA_TOTAL,TP_COR_RACA_DESC,TP_LINGUA_DESC,Q024_DESC,Q025_DESC
913187,Jovem,17.0,3049.5,Parda,Inglês,"Sim, um",Sim
355545,Jovem,17.0,3093.4,Preta,Espanhol,Não,Não
205737,Jovem,17.0,2691.8999999999996,Branca,Inglês,"Sim, três",Sim
1166706,Jovem,18.0,2186.8,Branca,Espanhol,"Sim, um",Sim
800165,Jovem,18.0,,Parda,Espanhol,Não,Não
972289,Jovem,17.0,2028.0,Branca,Espanhol,Não,Não
720566,Jovem,17.0,,Parda,Inglês,Não,Sim
215834,Jovem,18.0,2090.2,Parda,Espanhol,Não,Não
362625,Adulto,20.0,2065.9,Não declarado,Inglês,Não,Sim
1081293,Jovem,17.0,2872.7,Branca,Inglês,"Sim, um",Sim
1004707,Jovem,17.0,3266.7,Parda,Inglês,"Sim, um",Sim
636744,Jovem,17.0,2901.7,Não declarado,Inglês,"Sim, um",Sim
694021,Jovem,18.0,2222.4,Parda,Espanhol,"Sim, um",Sim
710381,Jovem,17.0,2503.3,Não declarado,Espanhol,Não,Sim
433063,Jovem,18.0,1616.1999999999998,Branca,Espanhol,"Sim, um",Sim
898513,Jovem,17.0,,Branca,Inglês,"Sim, um",Sim
822524,Adulto,40.0,,Parda,Espanhol,"Sim, um",Sim
363323,Adulto,19.0,2076.8,Parda,Espanhol,Não,Não
1111981,Adulto,20.0,,Branca,Espanhol,"Sim, um",Não
166564,Jovem,18.0,2698.5,Branca,Inglês,"Sim, um",Sim
250801,Jovem,17.0,3215.7,Branca,Inglês,"Sim, um",Sim
539408,Jovem,17.0,2723.3999999999996,Parda,Espanhol,Não,Não
583047,Jovem,18.0,3019.5,Branca,Espanhol,Não,Não
488328,Jovem,18.0,2343.4,Branca,Espanhol,"Sim, um",Sim
670958,Jovem,18.0,2547.4,Branca,Inglês,"Sim, um",Sim
224819,Jovem,18.0,2867.9,Branca,Inglês,Não,Sim
310388,Adulto,21.0,2366.0,Branca,Espanhol,Não,Sim
162266,Jovem,17.0,2730.7000000000003,Parda,Inglês,"Sim, um",Sim
444325,Jovem,16.0,3141.8,Branca,Inglês,"Sim, dois",Sim
1108104,Jovem,17.0,2372.1,Parda,Inglês,"Sim, um",Sim
894266,Jovem,18.0,2110.3,Branca,Espanhol,Não,Sim
970211,Adulto,24.0,1925.8000000000002,Parda,Inglês,Não,Sim
727657,Jovem,17.0,2226.8999999999996,Branca,Inglês,"Sim, um",Sim
942340,Jovem,18.0,2655.7,Preta,Espanhol,Não,Não
1011593,Jovem,17.0,3102.7999999999997,Branca,Espanhol,"Sim, um",Sim
971018,Jovem,17.0,2024.1,Não declarado,Espanhol,Não,Não
433717,Adulto,20.0,1573.9,Parda,Inglês,Não,Não
696718,Jovem,18.0,2616.1,Preta,Inglês,Não,Não
935456,Jovem,18.0,2533.3,Parda,Espanhol,"Sim, um",Sim
772969,Jovem,16.0,2288.2,Branca,Inglês,Não,Sim
520796,Jovem,18.0,1868.6,Parda,Espanhol,Não,Sim
359622,Jovem,18.0,3189.8,Parda,Inglês,Não,Sim
876259,Jovem,18.0,2927.4,Parda,Espanhol,Não,Não
1024999,Jovem,17.0,2476.2,Parda,Espanhol,"Sim, um",Sim
801434,Jovem,18.0,2892.4,Parda,Inglês,"Sim, um",Sim
1138377,Adulto,21.0,2113.8,Parda,Inglês,Não,Sim
1215256,Jovem,18.0,2412.0,Preta,Inglês,Não,Não
687034,Jovem,17.0,2865.3,Branca,Inglês,"Sim, um",Sim
1044135,Jovem,17.0,3004.8,Parda,Espanhol,Não,Sim
66055,Jovem,17.0,,Branca,Inglês,Não,Sim
1208778,Adulto,20.0,,Parda,Inglês,Não,Não
247014,Jovem,17.0,,Parda,Espanhol,Não,Não
569409,Jovem,18.0,2115.8,Parda,Espanhol,Não,Não
10150,Jovem,18.0,2519.1000000000004,Preta,Espanhol,Não,Sim
39959,Jovem,17.0,2384.6,Branca,Espanhol,Não,Não
328877,Jovem,17.0,2573.3999999999996,Branca,Inglês,Não,Não
137030,Jovem,18.0,,Parda,Espanhol,Não,Não
639487,Adulto,24.0,2319.8,Branca,Inglês,Não,Sim
1022620,Jovem,17.0,,Branca,Inglês,"Sim, um",Sim
425921,Jovem,17.0,3171.7,Branca,Espanhol,"Sim, um",Sim
879151,Jovem,18.0,2613.8,Branca,Espanhol,"Sim, um",Sim
1151972,Adulto,19.0,,Branca,Inglês,Não,Sim
955549,Jovem,17.0,,Parda,Espanhol,"Sim, um",Sim
374416,Jovem,17.0,3120.7,Branca,Inglês,"Sim, um",Sim
602023,Jovem,18.0,2226.1,Preta,Espanhol,Não,Sim
95336,Jovem,17.0,2637.0,Preta,Espanhol,Não,Não
281337,Jovem,17.0,2578.5,Branca,Espanhol,"Sim, um",Sim
569775,Jovem,18.0,2699.7,Branca,Espanhol,Não,Não
254065,Jovem,17.0,3098.8,Branca,Inglês,"Sim, três",Sim
670724,Adulto,19.0,2277.4,Parda,Inglês,Não,Não
799502,Jovem,18.0,1945.5,Indígena,Espanhol,Não,Não
50688,Jovem,17.0,2077.8999999999996,Preta,Inglês,Não,Não
1083374,Adulto,19.0,2128.8,Parda,Inglês,"Sim, um",Sim
121439,Jovem,17.0,2929.6,Parda,Inglês,"Sim, um",Sim
1229027,Adulto,22.0,2126.9,Parda,Espanhol,Não,Não
780081,Jovem,18.0,2162.9,Branca,Inglês,Não,Sim
366476,Jovem,18.0,2601.9,Branca,Inglês,"Sim, dois",Não
646417,Jovem,17.0,2808.5,Parda,Inglês,"Sim, um",Sim
379960,Jovem,18.0,2735.8,Preta,Espanhol,"Sim, dois",Sim
758080,Adulto,19.0,2228.6,Parda,Espanhol,Não,Não
140544,Adulto,20.0,,Não declarado,Inglês,"Sim, dois",Sim
84426,Jovem,18.0,2403.9,Branca,Inglês,"Sim, um",Sim
375674,Jovem,18.0,1900.8999999999999,Indígena,Inglês,"Sim, um",Sim
1070315,Adulto,19.0,,Parda,Espanhol,Não,Não
48631,Jovem,18.0,3153.3,Branca,Espanhol,"Sim, um",Sim
1241469,Jovem,18.0,2339.2,Branca,Espanhol,"Sim, um",Sim
980316,Adulto,19.0,2040.7,Preta,Inglês,Não,Sim
306225,Adulto,20.0,2136.1000000000004,Parda,Espanhol,"Sim, um",Sim
895681,Jovem,18.0,2467.8,Parda,Inglês,Não,Sim
1240528,Jovem,17.0,,Branca,Espanhol,Não,Não
375443,Jovem,18.0,2641.0,Parda,Inglês,Não,Não
183358,Jovem,17.0,3689.5,Parda,Inglês,"Sim, um",Sim
865511,Adulto,22.0,1911.8000000000002,Branca,Espanhol,Não,Sim
543047,Jovem,17.0,2779.4,Branca,Espanhol,Não,Sim
815259,Jovem,17.0,2923.3,Branca,Inglês,"Sim, um",Sim
829479,Adulto,19.0,2273.9,Parda,Espanhol,Não,Sim
176164,Jovem,18.0,2529.6,Parda,Espanhol,Não,Não
